ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,2,attribution,⟶,2,2,S,3,4,N,,2,attribution,⟶,2,2,S,3,3,N,,Completely identical CS,✓,✓,✓,✗,NRC,
2,,2-13,elaboration,⟵,2,13,S,1,1,N,,2-12,elaboration,⟵,2,13,S,1,1,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
3,,5,attribution,⟶,5,5,S,6,7,N,,5,attribution,⟶,5,5,S,6,6,N,,Completely identical CS,✓,✓,✓,✗,NRC,
4,,7,concession,⟵,7,7,S,6,6,N,,7,concession,⟵,7,7,S,5,6,N,,Completely identical CS,✓,✓,✓,✗,NRC,
5,,9,attribution,⟵,9,10,S,8,8,N,,9,attribution,⟵,9,10,S,8,8,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
6,,10,e-elaboration,⟵,10,10,S,9,9,N,,10,e-elaboration,⟵,10,10,S,9,9,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
7,,12,attribution,⟵,12,12,S,11,11,N,,12,attribution,⟵,12,12,S,11,11,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
8,,14,attribution,⟶,14,14,S,15,15,N,,14,result,⟵,14,15,S,1,13,N,,Completely identical CS,✗,✗,✗,✗,,"N/S, ≠R"
9,,14-15,result,⟵,14,16,S,1,13,N,,,,,,,,,,,,No matching,,,,,,
10,,,,,,,,,,,,8-10,interpretation,⟵,8,12,S,2,7,N,,No matching,,,,,,
11,,16,reason,⟵,16,16,S,14,15,N,,,,,,,,,,,,No matching,,,,,,
12,,,,,,,,,,,,15,motivation,⟵,15,15,S,14,14,N,,No matching,,,,,,
13,,3|4,sequence,⟷,3,3,N,4,4,N,,3|4,sequence,⟷,2,3,N,4,4,N,,Completely identical CS,✓,✓,✗,✓,NRA,
14,,3-4|6-7|8|11|13,list,⟷,2,4,N,5,13,N,,11,elaboration,⟵,11,12,S,8,10,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
15,,6-7|8|11|13,list,⟷,5,7,N,8,13,N,,13,e-elaboration,⟵,13,13,S,2,12,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
16,,8|11|13,list,⟷,8,10,N,11,13,N,,,,,,,,,,,,No matching,,,,,,
17,,,,,,,,,,,,2-4|5-6,sequence,⟷,2,4,N,5,7,N,,No matching,,,,,,
