ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,2,elaboration,⟵,2,2,S,1,1,N,,1|2,sequence,⟷,1,1,N,2,2,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
2,,3,elaboration,⟵,3,5,S,1,2,N,,,,,,,,,,,,No matching,,,,,,
3,,,,,,,,,,,,1-2,background,⟶,1,2,S,3,3,N,,No matching,,,,,,
4,,4,elaboration,⟵,4,5,S,3,3,N,,4,elaboration,⟵,4,5,S,1,3,N,,Completely identical CS,✓,✓,✓,✗,NRC,
5,,5,attribution,⟵,5,5,S,4,4,N,,5,attribution,⟵,5,5,S,4,4,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
6,,6,attribution,⟶,6,6,S,7,7,N,,6,attribution,⟶,6,6,S,7,7,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
7,,6-13,elaboration,⟵,6,17,S,1,5,N,,1-3|6-13,contrast,⟷,1,5,N,6,13,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
8,,8-9,elaboration,⟵,8,13,S,6,7,N,,7|8-9|12-13,list,⟷,6,7,N,8,13,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
9,,9,attribution,⟵,9,9,S,8,8,N,,9,attribution,⟵,9,9,S,8,8,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
10,,10-11,elaboration,⟵,10,13,S,8,9,N,,,,,,,,,,,,No matching,,,,,,
11,,,,,,,,,,,,10,e-elaboration,⟵,10,11,S,8,9,N,,No matching,,,,,,
12,,11,elaboration,⟵,11,11,S,10,10,N,,11,e-elaboration,⟵,11,11,S,10,10,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
13,,12,elaboration,⟵,12,13,S,10,11,N,,,,,,,,,,,,No matching,,,,,,
14,,,,,,,,,,,,8-9|12-13,list,⟷,8,11,N,12,13,N,,No matching,,,,,,
15,,13,elaboration,⟵,13,13,S,12,12,N,,12|13,list,⟷,12,12,N,13,13,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
16,,14,attribution,⟶,14,14,S,15,16,N,,14,attribution,⟶,14,14,S,15,16,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
17,,14-17,elaboration,⟵,14,17,S,6,13,N,,14-17,background,⟵,14,17,S,1,13,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
18,,15|16,conjunction,⟷,15,15,N,16,16,N,,15|16,conjunction,⟷,15,15,N,16,16,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
19,,15-16|17,list,⟷,14,16,N,17,17,N,,15-16|17,list,⟷,14,16,N,17,17,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
