ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,reason,⟶,1,1,S,2,2,N,,1,cause,⟶,1,1,S,2,3,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
2,,2,cause,⟶,1,2,S,3,3,N,,,,,,,,,,,,No matching,,,,,,
3,,,,,,,,,,,,12-15,cause,⟵,12,15,S,1,11,N,,No matching,,,,,,
4,,3,background,⟶,1,3,S,4,11,N,,3,purpose,⟵,3,3,S,2,2,N,,Completely identical CS,✗,✗,✗,✗,,"N/S, ≠R"
5,,4-6,background,⟶,4,7,S,8,11,N,,4-6|8-10,conjunction,⟷,4,7,N,8,11,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
6,,5,e-elaboration,⟵,5,5,S,4,4,N,,5,e-elaboration,⟵,5,5,S,4,4,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
7,,6,elaboration,⟵,6,6,S,4,5,N,,6,result,⟵,6,6,S,4,5,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
8,,7,attribution,⟵,7,7,S,4,6,N,,7,attribution,⟵,7,7,S,4,6,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
9,,8,background,⟶,8,9,S,10,10,N,,8,cause,⟶,8,9,S,10,10,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
10,,9,elaboration,⟵,9,9,S,8,8,N,,9,elaboration,⟵,9,9,S,8,8,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
11,,11,attribution,⟵,11,11,S,8,10,N,,11,attribution,⟵,11,11,S,8,10,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
12,,12-13,elaboration,⟵,12,14,S,1,11,N,,12-13|15,sameunit,⟷,12,14,N,15,15,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
13,,13,elaboration,⟵,13,13,S,12,12,N,,12|13,list,⟷,12,12,N,13,13,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
14,,14,attribution,⟵,14,14,S,12,13,N,,14,attribution,⟵,14,14,S,12,13,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
15,,15,elaboration,⟵,15,15,S,1,14,N,,,,,,,,,,,,No matching,,,,,,
16,,,,,,,,,,,,2-3|4-6|8-10,conjunction,⟷,1,3,N,4,11,N,,No matching,,,,,,
