ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,background,⟶,1,5,S,6,14,N,,1,cause,⟶,1,1,S,2,3,N,,Completely identical CS,✓,✗,✗,✗,N,≠R
2,,2,e-elaboration,⟵,2,5,S,1,1,N,,,,,,,,,,,,No matching,,,,,,
3,,,,,,,,,,,,2-3,concession,⟶,1,3,S,4,5,N,,No matching,,,,,,
4,,3-5,e-elaboration,⟵,3,5,S,2,2,N,,,,,,,,,,,,No matching,,,,,,
5,,,,,,,,,,,,6-7,cause,⟶,6,7,S,8,10,N,,No matching,,,,,,
6,,8-14,evidence,⟵,8,14,S,6,7,N,,,,,,,,,,,,No matching,,,,,,
7,,,,,,,,,,,,4-5,background,⟶,1,5,S,6,14,N,,No matching,,,,,,
8,,9,purpose,⟵,9,9,S,8,8,N,,9,elaboration,⟵,9,9,S,8,8,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
9,,12,purpose,⟵,12,12,S,11,11,N,,11,motivation,⟶,11,11,S,12,12,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/S, ≠R"
10,,14,purpose,⟵,14,14,S,13,13,N,,13,reason-n,⟶,13,13,S,14,14,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/S, ≠R"
11,,3|4|5,list,⟷,3,3,N,4,5,N,,3,e-elaboration,⟵,3,3,S,2,2,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
12,,4|5,list,⟷,4,4,N,5,5,N,,4|5,conjunction,⟷,4,4,N,5,5,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
13,,6|7,list,⟷,6,6,N,7,7,N,,6|7,conjunction,⟷,6,6,N,7,7,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
14,,8|10|11|13,list,⟷,8,9,N,10,14,N,,8|10,sequence,⟷,8,9,N,10,10,N,,Partially identical CS,✓,✗,✓,✗,NC,≠R
15,,10|11|13,list,⟷,10,10,N,11,14,N,,,,,,,,,,,,No matching,,,,,,
16,,,,,,,,,,,,8-10,solutionhood,⟶,6,10,S,11,14,N,,No matching,,,,,,
17,,11|13,list,⟷,11,12,N,13,14,N,,12|14,conjunction,⟷,11,12,N,13,14,N,,C1=C2 and A1=A2,✓,✗,✓,✓,NCA,≠R
