ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,preparation,⟶,1,1,S,2,11,N,,1,preparation,⟶,1,1,S,2,11,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
2,,2-5,background,⟶,2,9,S,10,11,N,,10-11,interpretation,⟵,10,11,S,2,9,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/S, ≠R"
3,,3-5,elaboration,⟵,3,5,S,2,2,N,,3-5,evaluation-s,⟶,2,5,S,6,9,N,,Completely identical CS,✗,✗,✗,✗,,"N/S, ≠R"
4,,6-9,solutionhood,⟵,6,9,S,2,5,N,,,,,,,,,,,,No matching,,,,,,
5,,,,,,,,,,,,2,evaluation-s,⟶,2,2,S,3,5,N,,No matching,,,,,,
6,,3|4|5,list,⟷,3,3,N,4,5,N,,3|4|5,list,⟷,3,3,N,4,5,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
7,,4|5,list,⟷,4,4,N,5,5,N,,4|5,list,⟷,4,4,N,5,5,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
8,,6|7|8|9,list,⟷,6,6,N,7,9,N,,7,evaluation-s,⟵,7,7,S,6,6,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
9,,7|8|9,list,⟷,7,7,N,8,9,N,,,,,,,,,,,,No matching,,,,,,
10,,,,,,,,,,,,8-9,enablement,⟵,8,9,S,6,7,N,,No matching,,,,,,
11,,8|9,list,⟷,8,8,N,9,9,N,,8|9,conjunction,⟷,8,8,N,9,9,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
12,,10|11,conjunction,⟷,10,10,N,11,11,N,,10|11,conjunction,⟷,10,10,N,11,11,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
