ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1-2,preparation,⟶,1,2,S,3,24,N,,1-2,preparation,⟶,1,2,S,3,24,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
2,,3,circumstance,⟶,3,3,S,4,7,N,,3,circumstance,⟶,3,3,S,4,5,N,,Completely identical CS,✓,✓,✓,✗,NRC,
3,,4-7,reason,⟶,3,7,S,8,16,N,,,,,,,,,,,,No matching,,,,,,
4,,,,,,,,,,,,3-7,background,⟶,3,10,S,11,12,N,,No matching,,,,,,
5,,6-7,e-elaboration,⟵,6,7,S,4,5,N,,6-7,elaboration,⟵,6,7,S,3,5,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
6,,8,reason,⟶,8,10,S,11,13,N,,,,,,,,,,,,No matching,,,,,,
7,,,,,,,,,,,,22-24,evaluation-s,⟵,22,24,S,3,21,N,,No matching,,,,,,
8,,9,e-elaboration,⟵,9,10,S,8,8,N,,9,elaboration,⟵,9,9,S,8,8,N,,Completely identical CS,✓,✗,✗,✓,NA,≠R
9,,10,elaboration,⟵,10,10,S,9,9,N,,10,elaboration,⟵,10,10,S,8,9,N,,Completely identical CS,✓,✓,✓,✗,NRC,
10,,11,reason,⟶,11,12,S,13,13,N,,,,,,,,,,,,No matching,,,,,,
11,,,,,,,,,,,,8-9,elaboration,⟵,8,10,S,3,7,N,,No matching,,,,,,
12,,12,restatement,⟵,12,12,S,11,11,N,,12,elaboration,⟵,12,12,S,11,11,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
13,,14-15,elaboration,⟵,14,16,S,8,13,N,,14-15,solutionhood,⟵,14,16,S,3,13,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
14,,16,purpose,⟵,16,16,S,14,15,N,,16,purpose,⟵,16,16,S,14,15,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
15,,17,elaboration,⟵,17,24,S,3,16,N,,17,summary,⟵,17,17,S,3,16,N,,Completely identical CS,✓,✗,✗,✓,NA,≠R
16,,18-20,elaboration,⟵,18,24,S,17,17,N,,18-20,evaluation-s,⟵,18,21,S,3,17,N,,Completely identical CS,✓,✗,✗,✗,N,≠R
17,,19,purpose,⟵,19,20,S,18,18,N,,19,purpose,⟶,18,19,S,20,20,N,,Completely identical CS,✗,✓,✗,✗,R,N/S
18,,20,purpose,⟵,20,20,S,19,19,N,,,,,,,,,,,,No matching,,,,,,
19,,,,,,,,,,,,13,circumstance,⟵,13,13,S,3,12,N,,No matching,,,,,,
20,,21,solutionhood,⟵,21,24,S,18,20,N,,21,enablement,⟵,21,21,S,18,20,N,,Completely identical CS,✓,✗,✗,✓,NA,≠R
21,,22,e-elaboration,⟵,22,24,S,21,21,N,,,,,,,,,,,,No matching,,,,,,
22,,,,,,,,,,,,18,purpose,⟶,18,18,S,19,19,N,,No matching,,,,,,
23,,23-24,elaboration,⟵,23,24,S,22,22,N,,22|23|24,list,⟷,22,22,N,23,24,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
24,,1|2,conjunction,⟷,1,1,N,2,2,N,,1|2,conjunction,⟷,1,1,N,2,2,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
25,,4|5,conjunction,⟷,4,4,N,5,5,N,,4,evaluation-n,⟶,4,4,S,5,5,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
26,,6|7,conjunction,⟷,6,6,N,7,7,N,,6|7,conjunction,⟷,6,6,N,7,7,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
27,,14|15,conjunction,⟷,14,14,N,15,15,N,,14|15,conjunction,⟷,14,14,N,15,15,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
28,,23|24,list,⟷,23,23,N,24,24,N,,23|24,list,⟷,23,23,N,24,24,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
