ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,preparation,⟶,1,1,S,2,11,N,,1,preparation,⟶,1,1,S,2,11,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
2,,2,cause,⟶,2,2,S,3,6,N,,2,background,⟶,2,2,S,3,4,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
3,,2-10,reason,⟶,2,10,S,11,11,N,,11,summary,⟵,11,11,S,2,10,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/S, ≠R"
4,,4,elaboration,⟵,4,4,S,3,3,N,,4,elaboration,⟵,4,4,S,3,3,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
5,,5-6,elaboration,⟵,5,6,S,3,4,N,,5-6,background,⟶,2,6,S,7,8,N,,Completely identical CS,✗,✗,✗,✗,,"N/S, ≠R"
6,,7,circumstance,⟶,7,7,S,8,8,N,,7,circumstance,⟶,7,7,S,8,8,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
7,,9-10,elaboration,⟵,9,10,S,7,8,N,,9-10,evaluation-s,⟵,9,10,S,2,8,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
8,,3-6|7-8,list,⟷,2,6,N,7,10,N,,,,,,,,,,,,No matching,,,,,,
9,,,,,,,,,,,,3-4,evaluation-n,⟶,2,4,S,5,6,N,,No matching,,,,,,
10,,5|6,conjunction,⟷,5,5,N,6,6,N,,5|6,conjunction,⟷,5,5,N,6,6,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
11,,9|10,conjunction,⟷,9,9,N,10,10,N,,9|10,conjunction,⟷,9,9,N,10,10,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
