ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,preparation,⟶,1,1,S,2,13,N,,1,preparation,⟶,1,1,S,2,13,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
2,,2,background,⟶,2,2,S,3,4,N,,2,evaluation-s,⟶,2,2,S,3,4,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
3,,2-7,background,⟶,2,7,S,8,13,N,,,,,,,,,,,,No matching,,,,,,
4,,,,,,,,,,,,2-5,background,⟶,2,8,S,9,13,N,,No matching,,,,,,
5,,5,solutionhood,⟵,5,5,S,2,4,N,,3-4,evaluation-n,⟶,2,4,S,5,5,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/S, ≠R"
6,,9,restatement,⟵,9,11,S,8,8,N,,,,,,,,,,,,No matching,,,,,,
7,,,,,,,,,,,,9-11,evaluation-n,⟶,9,11,S,12,12,N,,No matching,,,,,,
8,,10,purpose,⟵,10,11,S,9,9,N,,9|10,conjunction,⟷,9,9,N,10,11,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
9,,11,e-elaboration,⟵,11,11,S,10,10,N,,11,attribution,⟵,11,11,S,10,10,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
10,,12,elaboration,⟵,12,13,S,8,11,N,,,,,,,,,,,,No matching,,,,,,
11,,,,,,,,,,,,8,restatement,⟵,6,8,S,2,5,N,,No matching,,,,,,
12,,13,e-elaboration,⟵,13,13,S,12,12,N,,13,evaluation-s,⟵,13,13,S,9,12,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
13,,2-4|6-7,list,⟷,2,5,N,6,7,N,,6-7,evaluation-n,⟶,6,7,S,8,8,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
14,,3|4,conjunction,⟷,3,3,N,4,4,N,,3|4,conjunction,⟷,3,3,N,4,4,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
15,,6|7,list,⟷,6,6,N,7,7,N,,6|7,conjunction,⟷,6,6,N,7,7,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
