ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,2,attribution,⟵,2,2,S,1,1,N,,2,attribution,⟵,2,2,S,1,1,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
2,,3-20,elaboration,⟵,3,20,S,1,2,N,,,,,,,,,,,,No matching,,,,,,
3,,,,,,,,,,,,1,background,⟶,1,2,S,3,5,N,,No matching,,,,,,
4,,6,concession,⟶,6,7,S,8,20,N,,6|7|8,sequence,⟷,6,6,N,7,9,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
5,,7,elaboration,⟵,7,7,S,6,6,N,,7|8,sequence,⟷,7,7,N,8,9,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
6,,9,e-elaboration,⟵,9,20,S,8,8,N,,9,e-elaboration,⟵,9,9,S,8,8,N,,Completely identical CS,✓,✓,✗,✓,NRA,
7,,10,attribution,⟶,10,10,S,11,20,N,,10,preparation,⟶,10,10,S,11,20,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
8,,11,background,⟶,11,11,S,12,15,N,,11,background,⟶,11,11,S,12,15,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
9,,11-20,evidence,⟵,10,20,S,9,9,N,,,,,,,,,,,,No matching,,,,,,
10,,,,,,,,,,,,6-9,background,⟶,1,9,S,10,20,N,,No matching,,,,,,
11,,13,circumstance,⟵,13,14,S,12,12,N,,13|14,list,⟷,12,13,N,14,14,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
12,,14,e-elaboration,⟵,14,14,S,13,13,N,,,,,,,,,,,,No matching,,,,,,
13,,,,,,,,,,,,12,evaluation-s,⟶,12,12,S,13,13,N,,No matching,,,,,,
14,,16,background,⟶,16,16,S,17,20,N,,16,background,⟶,16,16,S,17,20,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
15,,3|4|5,list,⟷,3,3,N,4,5,N,,3,evaluation-s,⟶,3,3,S,4,5,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
16,,3-5|8-20,list,⟷,3,5,N,6,20,N,,3-5,background,⟶,1,5,S,6,9,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
17,,4|5,list,⟷,4,4,N,5,5,N,,4|5,conjunction,⟷,4,4,N,5,5,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
18,,12|15,contrast,⟷,12,14,N,15,15,N,,12-14,concession,⟶,12,14,S,15,15,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
19,,12-15|17-20,list,⟷,11,15,N,16,20,N,,12-15|17-20,list,⟷,11,15,N,16,20,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
20,,17|18|19,list,⟷,17,17,N,18,19,N,,17,result,⟶,17,17,S,18,19,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
21,,17-19|20,contrast,⟷,17,19,N,20,20,N,,18-19,concession,⟶,17,19,S,20,20,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
22,,18|19,list,⟷,18,18,N,19,19,N,,18|19,conjunction,⟷,18,18,N,19,19,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
