ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,preparation,⟶,1,1,S,2,15,N,,1,preparation,⟶,1,1,S,2,15,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
2,,2-4,background,⟶,2,13,S,14,15,N,,2-4,elaboration,⟶,2,12,S,13,13,N,,Completely identical CS,✓,✗,✗,✗,N,≠R
3,,3-4,e-elaboration,⟵,3,4,S,2,2,N,,3-4,e-elaboration,⟵,3,4,S,2,2,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
4,,5,attribution,⟶,5,5,S,6,10,N,,5,attribution,⟶,5,5,S,6,10,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
5,,5-13,elaboration,⟵,5,13,S,2,4,N,,,,,,,,,,,,No matching,,,,,,
6,,,,,,,,,,,,5-12,background,⟵,5,12,S,2,4,N,,No matching,,,,,,
7,,7-10,result,⟵,7,10,S,6,6,N,,7-10,elaboration,⟵,7,10,S,6,6,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
8,,10,purpose,⟵,10,10,S,9,9,N,,9|10,list,⟷,9,9,N,10,10,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
9,,12,reason,⟵,12,13,S,11,11,N,,12,reason,⟵,12,12,S,11,11,N,,Completely identical CS,✓,✓,✗,✓,NRA,
10,,13,evaluation-n,⟵,13,13,S,12,12,N,,13|15,sequence,⟷,2,13,N,14,15,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
11,,3|4,list,⟷,3,3,N,4,4,N,,3|4,list,⟷,3,3,N,4,4,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
12,,6-10|11,list,⟷,5,10,N,11,13,N,,6-10|11,list,⟷,5,10,N,11,12,N,,Completely identical CS,✓,✓,✓,✗,NRC,
13,,7|8|9,conjunction,⟷,7,7,N,8,10,N,,7|8|9|10,list,⟷,7,7,N,8,10,N,,C1=C2 and A1=A2,✓,✗,✓,✓,NCA,≠R
14,,8|9,conjunction,⟷,8,8,N,9,10,N,,8|9|10,list,⟷,8,8,N,9,10,N,,C1=C2 and A1=A2,✓,✗,✓,✓,NCA,≠R
15,,14|15,contrast,⟷,14,14,N,15,15,N,,14,concession,⟶,14,14,S,15,15,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
