ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,solutionhood,⟶,1,1,S,2,3,N,,1,solutionhood,⟶,1,1,S,2,3,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
2,,1-4,background,⟶,1,4,S,5,20,N,,,,,,,,,,,,No matching,,,,,,
3,,,,,,,,,,,,4,background,⟶,1,4,S,5,6,N,,No matching,,,,,,
4,,2-3,concession,⟶,1,3,S,4,4,N,,2-3,concession,⟶,1,3,S,4,4,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
5,,3,e-elaboration,⟵,3,3,S,2,2,N,,3,e-elaboration,⟵,3,3,S,2,2,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
6,,5,background,⟶,5,6,S,7,9,N,,5,background,⟶,5,5,S,6,6,N,,Completely identical CS,✓,✓,✗,✗,NR,
7,,6,elaboration,⟵,6,6,S,5,5,N,,,,,,,,,,,,No matching,,,,,,
8,,,,,,,,,,,,5-6,background,⟶,1,6,S,7,9,N,,No matching,,,,,,
9,,7-9,background,⟶,5,9,S,10,20,N,,7-9,background,⟶,1,9,S,10,20,N,,Completely identical CS,✓,✓,✗,✓,NRA,
10,,8,e-elaboration,⟵,8,8,S,7,7,N,,8,antithesis,⟵,8,8,S,7,7,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
11,,10,attribution,⟶,10,10,S,11,11,N,,10,attribution,⟶,10,10,S,11,11,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
12,,11,antithesis,⟶,10,11,S,12,15,N,,11,antithesis,⟶,10,11,S,12,15,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
13,,12,result,⟶,12,12,S,13,13,N,,12,reason,⟶,12,12,S,13,13,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
14,,12-15,motivation,⟶,10,15,S,16,16,N,,12-15,motivation,⟶,10,15,S,16,16,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
15,,14-15,elaboration,⟵,14,15,S,12,13,N,,13|15,list,⟷,12,13,N,14,15,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
16,,17,concession,⟶,17,17,S,18,19,N,,17,e-elaboration,⟵,17,17,S,10,16,N,,Completely identical CS,✗,✗,✓,✗,C,"N/S, ≠R"
17,,17-20,elaboration,⟵,17,20,S,10,16,N,,,,,,,,,,,,No matching,,,,,,
18,,,,,,,,,,,,10-16,concession,⟶,10,17,S,18,20,N,,No matching,,,,,,
19,,19,condition,⟵,19,19,S,18,18,N,,19,evaluation-s,⟵,19,19,S,18,18,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
20,,7|9,sameunit,⟷,7,8,N,9,9,N,,7|9,sameunit,⟷,7,8,N,9,9,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
21,,14|15,conjunction,⟷,14,14,N,15,15,N,,14,antithesis,⟶,14,14,S,15,15,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
22,,18-19|20,contrast,⟷,17,19,N,20,20,N,,20,evaluation-s,⟵,20,20,S,18,19,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
