ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,3,interpretation,⟵,3,9,S,2,2,N,,3,reason,⟵,3,3,S,2,2,N,,Completely identical CS,✓,✗,✗,✓,NA,≠R
2,,4,antithesis,⟶,4,4,S,5,9,N,,4,elaboration,⟵,4,9,S,1,3,N,,Completely identical CS,✗,✗,✗,✗,,"N/S, ≠R"
3,,5-9,elaboration,⟵,4,9,S,3,3,N,,5-9,concession,⟵,5,9,S,4,4,N,,Completely identical CS,✓,✗,✗,✗,N,≠R
4,,6,e-elaboration,⟵,6,6,S,5,5,N,,6,e-elaboration,⟵,6,6,S,5,5,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
5,,9,e-elaboration,⟵,9,9,S,8,8,N,,9,elaboration,⟵,9,9,S,8,8,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
6,,10,evaluation-s,⟵,10,10,S,2,9,N,,,,,,,,,,,,No matching,,,,,,
7,,,,,,,,,,,,1-3,cause,⟶,1,9,S,10,10,N,,No matching,,,,,,
8,,1|2-9,contrast,⟷,1,1,N,2,10,N,,,,,,,,,,,,No matching,,,,,,
9,,,,,,,,,,,,2,reason,⟵,2,3,S,1,1,N,,No matching,,,,,,
10,,5|7|8,list,⟷,5,6,N,7,9,N,,5|7-9,list,⟷,5,6,N,7,9,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
11,,7|8,list,⟷,7,7,N,8,9,N,,7|8,conjunction,⟷,7,7,N,8,9,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
