ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,2-4,elaboration,⟵,2,4,S,1,1,N,,,,,,,,,,,,No matching,,,,,,
2,,,,,,,,,,,,2,evidence,⟵,2,2,S,1,1,N,,No matching,,,,,,
3,,4,e-elaboration,⟵,4,4,S,3,3,N,,4,elaboration,⟵,4,4,S,3,3,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
4,,6,cause,⟵,6,7,S,5,5,N,,5,evidence,⟶,5,5,S,6,7,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/S, ≠R"
5,,7,e-elaboration,⟵,7,7,S,6,6,N,,7,e-elaboration,⟵,7,7,S,6,6,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
6,,10,e-elaboration,⟵,10,10,S,9,9,N,,10,background,⟵,10,10,S,9,9,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
7,,11-15,elaboration,⟵,11,17,S,9,10,N,,9|11-12|16-17,conjunction,⟷,9,10,N,11,17,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/N-N/S, ≠R"
8,,12,reason,⟵,12,12,S,11,11,N,,12,circumstance,⟵,12,12,S,11,11,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
9,,13,elaboration,⟵,13,13,S,11,12,N,,13,restatement,⟵,13,13,S,11,12,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
10,,16,elaboration,⟵,16,17,S,11,15,N,,,,,,,,,,,,No matching,,,,,,
11,,,,,,,,,,,,14-15,cause,⟶,14,15,S,16,17,N,,No matching,,,,,,
12,,17,e-elaboration,⟵,17,17,S,16,16,N,,17,e-elaboration,⟵,17,17,S,16,16,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
13,,20,e-elaboration,⟵,20,20,S,19,19,N,,19,cause,⟶,19,19,S,20,20,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/S, ≠R"
14,,22,purpose,⟵,22,22,S,21,21,N,,21,condition,⟶,21,21,S,22,22,N,,C1=A2 and A1=C2,✗,✗,✗,✗,,"N/S, ≠R"
15,,25,elaboration,⟵,25,26,S,24,24,N,,25,reason,⟵,25,26,S,23,24,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
16,,26,e-elaboration,⟵,26,26,S,25,25,N,,26,elaboration,⟵,26,26,S,25,25,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
17,,1|5-8|9-10|18|19|21|23-26,list,⟷,1,4,N,5,26,N,,1-4|5-8|9-17|18|20|22|23-24,list,⟷,1,4,N,5,26,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
18,,2|3,list,⟷,2,2,N,3,4,N,,1|3,conjunction,⟷,1,2,N,3,4,N,,Partially identical CS,✓,✗,✗,✓,NA,≠R
19,,5|8,list,⟷,5,7,N,8,8,N,,6-7|8,conjunction,⟷,5,7,N,8,8,N,,C1=C2 and A1=A2,✓,✗,✓,✓,NCA,≠R
20,,5-8|9-10|18|19|21|23-26,list,⟷,5,8,N,9,26,N,,5-8|9-17|18|20|22|23-24,list,⟷,5,8,N,9,26,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
21,,9-10|18|19|21|23-26,list,⟷,9,17,N,18,26,N,,9-17|18|20|22|23-24,list,⟷,9,17,N,18,26,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
22,,11-12|14-15,list,⟷,11,13,N,14,15,N,,11-12|16-17,conjunction,⟷,11,13,N,14,17,N,,Partially identical CS,✓,✗,✓,✗,NC,≠R
23,,14|15,conjunction,⟷,14,14,N,15,15,N,,14|15,conjunction,⟷,14,14,N,15,15,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
24,,18|19|21|23-26,list,⟷,18,18,N,19,26,N,,18|20|22|23-24,list,⟷,18,18,N,19,26,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
25,,19|21|23-26,list,⟷,19,20,N,21,26,N,,20|22|23-24,list,⟷,19,20,N,21,26,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
26,,21|23-26,list,⟷,21,22,N,23,26,N,,22|23-24,list,⟷,21,22,N,23,26,N,,C1=C2 and A1=A2,✓,✓,✓,✓,NRCA,
27,,23|24,conjunction,⟷,23,23,N,24,26,N,,23,evaluation-n,⟶,23,23,S,24,24,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
