ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,purpose,⟶,1,1,S,2,2,N,,1,background,⟶,1,2,S,3,3,N,,Completely identical CS,✓,✗,✗,✗,N,≠R
2,,1-2,background,⟶,1,3,S,4,13,N,,,,,,,,,,,,No matching,,,,,,
3,,,,,,,,,,,,2,purpose,⟵,2,2,S,1,1,N,,No matching,,,,,,
4,,3,e-elaboration,⟵,3,3,S,1,2,N,,3,elaboration,⟶,1,3,S,4,5,N,,Completely identical CS,✗,✗,✗,✗,,"N/S, ≠R"
5,,4,concession,⟶,4,4,S,5,5,N,,4,concession,⟶,4,4,S,5,5,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
6,,4-13,background,⟶,1,13,S,14,18,N,,9-13|17-18,joint,⟷,1,13,N,14,18,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
7,,5,cause,⟶,4,5,S,6,6,N,,,,,,,,,,,,No matching,,,,,,
8,,,,,,,,,,,,4-5,evaluation-n,⟶,1,5,S,6,8,N,,No matching,,,,,,
9,,7-8,elaboration,⟵,7,13,S,4,6,N,,,,,,,,,,,,No matching,,,,,,
10,,,,,,,,,,,,6-8,background,⟶,1,8,S,9,13,N,,No matching,,,,,,
11,,8,e-elaboration,⟵,8,8,S,7,7,N,,8,e-elaboration,⟵,8,8,S,7,7,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
12,,9-11,evidence,⟵,9,13,S,7,8,N,,,,,,,,,,,,No matching,,,,,,
13,,,,,,,,,,,,7,elaboration,⟵,7,8,S,6,6,N,,No matching,,,,,,
14,,10,e-elaboration,⟵,10,10,S,9,9,N,,10,e-elaboration,⟵,10,10,S,9,9,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
15,,12-13,evidence,⟵,12,13,S,9,11,N,,,,,,,,,,,,No matching,,,,,,
16,,,,,,,,,,,,15-16,cause,⟶,14,16,S,17,18,N,,No matching,,,,,,
17,,14,background,⟶,14,14,S,15,18,N,,14,background,⟶,14,14,S,15,16,N,,Completely identical CS,✓,✓,✓,✗,NRC,
18,,15,result,⟶,15,16,S,17,17,N,,,,,,,,,,,,No matching,,,,,,
19,,,,,,,,,,,,12,circumstance,⟵,12,12,S,9,11,N,,No matching,,,,,,
20,,16,reason,⟵,16,16,S,15,15,N,,16,e-elaboration,⟵,16,16,S,15,15,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
21,,18,reason,⟵,18,18,S,15,17,N,,18,purpose,⟵,18,18,S,17,17,N,,Completely identical CS,✓,✗,✓,✗,NC,≠R
22,,9|11,sameunit,⟷,9,10,N,11,11,N,,9,cause,⟶,9,10,S,11,11,N,,C1=C2 and A1=A2,✗,✗,✗,✓,A,"N/N-N/S, ≠R"
23,,12|13,conjunction,⟷,12,12,N,13,13,N,,13,evaluation-s,⟵,13,13,S,9,12,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
