ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,cause,⟶,1,1,S,2,4,N,,1,background,⟶,1,4,S,5,12,N,,Completely identical CS,✓,✗,✗,✗,N,≠R
2,,1-4,background,⟶,1,5,S,6,12,N,,,,,,,,,,,,No matching,,,,,,
3,,,,,,,,,,,,2-4,elaboration,⟵,2,4,S,1,1,N,,No matching,,,,,,
4,,5,circumstance,⟵,5,5,S,1,4,N,,5,background,⟶,5,5,S,6,7,N,,Completely identical CS,✗,✗,✓,✗,C,"N/S, ≠R"
5,,6,cause,⟶,6,6,S,7,7,N,,6,reason,⟶,6,6,S,7,7,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
6,,8,condition,⟶,8,8,S,9,9,N,,8,result,⟶,8,8,S,9,9,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
7,,9,evaluation-s,⟵,8,9,S,6,7,N,,9,background,⟶,8,9,S,10,12,N,,Completely identical CS,✗,✗,✓,✗,C,"N/S, ≠R"
8,,10,e-elaboration,⟵,10,12,S,6,9,N,,,,,,,,,,,,No matching,,,,,,
9,,,,,,,,,,,,6-7,background,⟶,5,7,S,8,12,N,,No matching,,,,,,
10,,11-12,e-elaboration,⟵,11,12,S,10,10,N,,11-12,elaboration,⟵,11,12,S,10,10,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
11,,2|3|4,conjunction,⟷,2,2,N,3,4,N,,2|3|4,conjunction,⟷,2,2,N,3,4,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
12,,3|4,conjunction,⟷,3,3,N,4,4,N,,3|4,conjunction,⟷,3,3,N,4,4,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
13,,11|12,conjunction,⟷,11,11,N,12,12,N,,11|12,conjunction,⟷,11,11,N,12,12,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
