ID,,CS-A,Relation-A,Nuc-A,C1-A,C2-A,CN-A,A1-A,A2-A,AN-A,,CS-B,Relation-B,Nuc-B,C1-B,C2-B,CN-B,A1-B,A2-B,AN-B,,Matching,N,R,C,A,Agreement,Disagreement
1,,1,background,⟶,1,3,S,4,10,N,,,,,,,,,,,,No matching,,,,,,
2,,,,,,,,,,,,4,elaboration,⟵,4,13,S,3,3,N,,No matching,,,,,,
3,,2,reason-n,⟵,2,3,S,1,1,N,,2,reason-n,⟵,2,13,S,1,1,N,,Completely identical CS,✓,✓,✗,✓,NRA,
4,,3,reason,⟵,3,3,S,2,2,N,,3,purpose,⟵,3,13,S,2,2,N,,Completely identical CS,✓,✗,✗,✓,NA,≠R
5,,5-10,evaluation-s,⟵,5,10,S,4,4,N,,5-10,purpose,⟵,5,13,S,4,4,N,,Completely identical CS,✓,✗,✗,✓,NA,≠R
6,,6,reason,⟵,6,6,S,5,5,N,,6,circumstance,⟵,6,6,S,5,5,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
7,,7-9,concession,⟶,7,9,S,10,10,N,,7-9,interpretation,⟵,7,10,S,5,6,N,,Completely identical CS,✗,✗,✗,✗,,"N/S, ≠R"
8,,8,elaboration,⟵,8,8,S,7,7,N,,8,elaboration,⟵,8,8,S,7,7,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
9,,11,interpretation,⟵,11,13,S,1,10,N,,11,interpretation,⟵,11,13,S,5,10,N,,Completely identical CS,✓,✓,✓,✗,NRC,
10,,12,preparation,⟶,12,12,S,13,13,N,,12,attribution,⟶,12,12,S,13,13,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
11,,13,elaboration,⟵,12,13,S,11,11,N,,13,interpretation,⟵,12,13,S,11,11,N,,Completely identical CS,✓,✗,✓,✓,NCA,≠R
12,,5|10,list,⟷,5,6,N,7,10,N,,10,interpretation,⟵,10,10,S,7,9,N,,Partially identical CS,✗,✗,✗,✗,,"N/N-N/S, ≠R"
13,,7|9,sameunit,⟷,7,8,N,9,9,N,,7|9,sameunit,⟷,7,8,N,9,9,N,,Completely identical CS,✓,✓,✓,✓,NRCA,
